scholarly_search_id,person_id,name_en,name_zh,search_type,url,purpose
SS0017,FM002,Theobald Boehm,特奧巴德・伯姆,library_of_congress,https://catalog.loc.gov/vwebv/search?searchArg=%22Theobald%20Boehm%22%20flute&searchCode=GKEY%5E*&searchType=0,Search Library of Congress catalogue.
SS0018,FM002,Theobald Boehm,特奧巴德・伯姆,jstor,https://www.jstor.org/action/doBasicSearch?Query=%22Theobald%20Boehm%22%20flute,Search JSTOR for journals and book chapters.
SS0019,FM002,Theobald Boehm,特奧巴德・伯姆,project_muse,https://muse.jhu.edu/search?action=search&query=%22Theobald%20Boehm%22%20flute,Search Project MUSE for humanities scholarship.
SS0020,FM002,Theobald Boehm,特奧巴德・伯姆,proquest,https://www.proquest.com/search?query=%22Theobald%20Boehm%22%20flute,Search ProQuest for dissertations and scholarly databases; access may require login.
SS0021,FM002,Theobald Boehm,特奧巴德・伯姆,rilm,https://www.rilm.org/,Use RILM Abstracts with the query text; RILM usually requires institutional access.
SS0022,FM002,Theobald Boehm,特奧巴德・伯姆,nfa_site,https://www.google.com/search?q=%22Theobald%20Boehm%22%20flute%20site%3Anfaonline.org,Search National Flute Association pages and publications.
SS0023,FM003,Charles Nicholson,查爾斯・尼科爾森,google_scholar,https://scholar.google.com/scholar?q=%22Charles%20Nicholson%22%20flute,"Search Google Scholar for papers, citations and books."
SS0024,FM003,Charles Nicholson,查爾斯・尼科爾森,crossref,https://search.crossref.org/?q=%22Charles%20Nicholson%22%20flute,Search Crossref for DOI-bearing publications.
SS0025,FM003,Charles Nicholson,查爾斯・尼科爾森,semantic_scholar,https://www.semanticscholar.org/search?q=%22Charles%20Nicholson%22%20flute&sort=relevance,Search Semantic Scholar for papers and citations.
SS0026,FM003,Charles Nicholson,查爾斯・尼科爾森,worldcat_books,https://search.worldcat.org/search?q=%22Charles%20Nicholson%22%20flute,"Search WorldCat for books, recordings, theses and library holdings."
SS0027,FM003,Charles Nicholson,查爾斯・尼科爾森,worldcat_dissertations,https://search.worldcat.org/search?q=%22Charles%20Nicholson%22%20flute%20dissertation%20OR%20thesis,Search WorldCat for thesis/dissertation holdings.
SS0028,FM003,Charles Nicholson,查爾斯・尼科爾森,library_of_congress,https://catalog.loc.gov/vwebv/search?searchArg=%22Charles%20Nicholson%22%20flute&searchCode=GKEY%5E*&searchType=0,Search Library of Congress catalogue.
SS0029,FM003,Charles Nicholson,查爾斯・尼科爾森,jstor,https://www.jstor.org/action/doBasicSearch?Query=%22Charles%20Nicholson%22%20flute,Search JSTOR for journals and book chapters.
SS0030,FM003,Charles Nicholson,查爾斯・尼科爾森,project_muse,https://muse.jhu.edu/search?action=search&query=%22Charles%20Nicholson%22%20flute,Search Project MUSE for humanities scholarship.
SS0031,FM003,Charles Nicholson,查爾斯・尼科爾森,proquest,https://www.proquest.com/search?query=%22Charles%20Nicholson%22%20flute,Search ProQuest for dissertations and scholarly databases; access may require login.
SS0032,FM003,Charles Nicholson,查爾斯・尼科爾森,rilm,https://www.rilm.org/,Use RILM Abstracts with the query text; RILM usually requires institutional access.
SS0033,FM003,Charles Nicholson,查爾斯・尼科爾森,nfa_site,https://www.google.com/search?q=%22Charles%20Nicholson%22%20flute%20site%3Anfaonline.org,Search National Flute Association pages and publications.
SS0034,FM004,Jean-Louis Tulou,讓-路易・圖盧,google_scholar,https://scholar.google.com/scholar?q=%22Jean-Louis%20Tulou%22%20flute,"Search Google Scholar for papers, citations and books."
SS0035,FM004,Jean-Louis Tulou,讓-路易・圖盧,crossref,https://search.crossref.org/?q=%22Jean-Louis%20Tulou%22%20flute,Search Crossref for DOI-bearing publications.
SS0036,FM004,Jean-Louis Tulou,讓-路易・圖盧,semantic_scholar,https://www.semanticscholar.org/search?q=%22Jean-Louis%20Tulou%22%20flute&sort=relevance,Search Semantic Scholar for papers and citations.
SS0037,FM004,Jean-Louis Tulou,讓-路易・圖盧,worldcat_books,https://search.worldcat.org/search?q=%22Jean-Louis%20Tulou%22%20flute,"Search WorldCat for books, recordings, theses and library holdings."
SS0038,FM004,Jean-Louis Tulou,讓-路易・圖盧,worldcat_dissertations,https://search.worldcat.org/search?q=%22Jean-Louis%20Tulou%22%20flute%20dissertation%20OR%20thesis,Search WorldCat for thesis/dissertation holdings.
SS0039,FM004,Jean-Louis Tulou,讓-路易・圖盧,library_of_congress,https://catalog.loc.gov/vwebv/search?searchArg=%22Jean-Louis%20Tulou%22%20flute&searchCode=GKEY%5E*&searchType=0,Search Library of Congress catalogue.
SS0040,FM004,Jean-Louis Tulou,讓-路易・圖盧,jstor,https://www.jstor.org/action/doBasicSearch?Query=%22Jean-Louis%20Tulou%22%20flute,Search JSTOR for journals and book chapters.
SS0041,FM004,Jean-Louis Tulou,讓-路易・圖盧,project_muse,https://muse.jhu.edu/search?action=search&query=%22Jean-Louis%20Tulou%22%20flute,Search Project MUSE for humanities scholarship.
SS0042,FM004,Jean-Louis Tulou,讓-路易・圖盧,proquest,https://www.proquest.com/search?query=%22Jean-Louis%20Tulou%22%20flute,Search ProQuest for dissertations and scholarly databases; access may require login.
SS0043,FM004,Jean-Louis Tulou,讓-路易・圖盧,rilm,https://www.rilm.org/,Use RILM Abstracts with the query text; RILM usually requires institutional access.
SS0044,FM004,Jean-Louis Tulou,讓-路易・圖盧,nfa_site,https://www.google.com/search?q=%22Jean-Louis%20Tulou%22%20flute%20site%3Anfaonline.org,Search National Flute Association pages and publications.
SS0045,FM005,Louis Dorus,路易・多魯斯,google_scholar,https://scholar.google.com/scholar?q=%22Louis%20Dorus%22%20flute,"Search Google Scholar for papers, citations and books."
SS0046,FM005,Louis Dorus,路易・多魯斯,crossref,https://search.crossref.org/?q=%22Louis%20Dorus%22%20flute,Search Crossref for DOI-bearing publications.
SS0047,FM005,Louis Dorus,路易・多魯斯,semantic_scholar,https://www.semanticscholar.org/search?q=%22Louis%20Dorus%22%20flute&sort=relevance,Search Semantic Scholar for papers and citations.
SS0048,FM005,Louis Dorus,路易・多魯斯,worldcat_books,https://search.worldcat.org/search?q=%22Louis%20Dorus%22%20flute,"Search WorldCat for books, recordings, theses and library holdings."
SS0049,FM005,Louis Dorus,路易・多魯斯,worldcat_dissertations,https://search.worldcat.org/search?q=%22Louis%20Dorus%22%20flute%20dissertation%20OR%20thesis,Search WorldCat for thesis/dissertation holdings.
SS0050,FM005,Louis Dorus,路易・多魯斯,library_of_congress,https://catalog.loc.gov/vwebv/search?searchArg=%22Louis%20Dorus%22%20flute&searchCode=GKEY%5E*&searchType=0,Search Library of Congress catalogue.
SS0051,FM005,Louis Dorus,路易・多魯斯,jstor,https://www.jstor.org/action/doBasicSearch?Query=%22Louis%20Dorus%22%20flute,Search JSTOR for journals and book chapters.
SS0052,FM005,Louis Dorus,路易・多魯斯,project_muse,https://muse.jhu.edu/search?action=search&query=%22Louis%20Dorus%22%20flute,Search Project MUSE for humanities scholarship.
SS0053,FM005,Louis Dorus,路易・多魯斯,proquest,https://www.proquest.com/search?query=%22Louis%20Dorus%22%20flute,Search ProQuest for dissertations and scholarly databases; access may require login.
SS0054,FM005,Louis Dorus,路易・多魯斯,rilm,https://www.rilm.org/,Use RILM Abstracts with the query text; RILM usually requires institutional access.
SS0055,FM005,Louis Dorus,路易・多魯斯,nfa_site,https://www.google.com/search?q=%22Louis%20Dorus%22%20flute%20site%3Anfaonline.org,Search National Flute Association pages and publications.
SS0056,FM006,Joseph-Henri Altès,約瑟夫-亨利・阿爾泰斯,google_scholar,https://scholar.google.com/scholar?q=%22Joseph-Henri%20Alt%C3%A8s%22%20flute,"Search Google Scholar for papers, citations and books."
SS0057,FM006,Joseph-Henri Altès,約瑟夫-亨利・阿爾泰斯,crossref,https://search.crossref.org/?q=%22Joseph-Henri%20Alt%C3%A8s%22%20flute,Search Crossref for DOI-bearing publications.
SS0058,FM006,Joseph-Henri Altès,約瑟夫-亨利・阿爾泰斯,semantic_scholar,https://www.semanticscholar.org/search?q=%22Joseph-Henri%20Alt%C3%A8s%22%20flute&sort=relevance,Search Semantic Scholar for papers and citations.
SS0059,FM006,Joseph-Henri Altès,約瑟夫-亨利・阿爾泰斯,worldcat_books,https://search.worldcat.org/search?q=%22Joseph-Henri%20Alt%C3%A8s%22%20flute,"Search WorldCat for books, recordings, theses and library holdings."
SS0060,FM006,Joseph-Henri Altès,約瑟夫-亨利・阿爾泰斯,worldcat_dissertations,https://search.worldcat.org/search?q=%22Joseph-Henri%20Alt%C3%A8s%22%20flute%20dissertation%20OR%20thesis,Search WorldCat for thesis/dissertation holdings.
SS0061,FM006,Joseph-Henri Altès,約瑟夫-亨利・阿爾泰斯,library_of_congress,https://catalog.loc.gov/vwebv/search?searchArg=%22Joseph-Henri%20Alt%C3%A8s%22%20flute&searchCode=GKEY%5E*&searchType=0,Search Library of Congress catalogue.
SS0062,FM006,Joseph-Henri Altès,約瑟夫-亨利・阿爾泰斯,jstor,https://www.jstor.org/action/doBasicSearch?Query=%22Joseph-Henri%20Alt%C3%A8s%22%20flute,Search JSTOR for journals and book chapters.
SS0063,FM006,Joseph-Henri Altès,約瑟夫-亨利・阿爾泰斯,project_muse,https://muse.jhu.edu/search?action=search&query=%22Joseph-Henri%20Alt%C3%A8s%22%20flute,Search Project MUSE for humanities scholarship.
SS0064,FM006,Joseph-Henri Altès,約瑟夫-亨利・阿爾泰斯,proquest,https://www.proquest.com/search?query=%22Joseph-Henri%20Alt%C3%A8s%22%20flute,Search ProQuest for dissertations and scholarly databases; access may require login.
SS0065,FM006,Joseph-Henri Altès,約瑟夫-亨利・阿爾泰斯,rilm,https://www.rilm.org/,Use RILM Abstracts with the query text; RILM usually requires institutional access.
SS0066,FM006,Joseph-Henri Altès,約瑟夫-亨利・阿爾泰斯,nfa_site,https://www.google.com/search?q=%22Joseph-Henri%20Alt%C3%A8s%22%20flute%20site%3Anfaonline.org,Search National Flute Association pages and publications.
SS0067,FM007,Paul Taffanel,保羅・塔法奈爾,google_scholar,https://scholar.google.com/scholar?q=%22Paul%20Taffanel%22%20flute,"Search Google Scholar for papers, citations and books."
SS0068,FM007,Paul Taffanel,保羅・塔法奈爾,crossref,https://search.crossref.org/?q=%22Paul%20Taffanel%22%20flute,Search Crossref for DOI-bearing publications.
SS0069,FM007,Paul Taffanel,保羅・塔法奈爾,semantic_scholar,https://www.semanticscholar.org/search?q=%22Paul%20Taffanel%22%20flute&sort=relevance,Search Semantic Scholar for papers and citations.
SS0070,FM007,Paul Taffanel,保羅・塔法奈爾,worldcat_books,https://search.worldcat.org/search?q=%22Paul%20Taffanel%22%20flute,"Search WorldCat for books, recordings, theses and library holdings."
SS0071,FM007,Paul Taffanel,保羅・塔法奈爾,worldcat_dissertations,https://search.worldcat.org/search?q=%22Paul%20Taffanel%22%20flute%20dissertation%20OR%20thesis,Search WorldCat for thesis/dissertation holdings.
SS0072,FM007,Paul Taffanel,保羅・塔法奈爾,library_of_congress,https://catalog.loc.gov/vwebv/search?searchArg=%22Paul%20Taffanel%22%20flute&searchCode=GKEY%5E*&searchType=0,Search Library of Congress catalogue.
SS0073,FM007,Paul Taffanel,保羅・塔法奈爾,jstor,https://www.jstor.org/action/doBasicSearch?Query=%22Paul%20Taffanel%22%20flute,Search JSTOR for journals and book chapters.
SS0074,FM007,Paul Taffanel,保羅・塔法奈爾,project_muse,https://muse.jhu.edu/search?action=search&query=%22Paul%20Taffanel%22%20flute,Search Project MUSE for humanities scholarship.
SS0075,FM007,Paul Taffanel,保羅・塔法奈爾,proquest,https://www.proquest.com/search?query=%22Paul%20Taffanel%22%20flute,Search ProQuest for dissertations and scholarly databases; access may require login.
SS0076,FM007,Paul Taffanel,保羅・塔法奈爾,rilm,https://www.rilm.org/,Use RILM Abstracts with the query text; RILM usually requires institutional access.
SS0077,FM007,Paul Taffanel,保羅・塔法奈爾,nfa_site,https://www.google.com/search?q=%22Paul%20Taffanel%22%20flute%20site%3Anfaonline.org,Search National Flute Association pages and publications.
SS0078,FM008,Philippe Gaubert,菲利普・高貝爾,google_scholar,https://scholar.google.com/scholar?q=%22Philippe%20Gaubert%22%20flute,"Search Google Scholar for papers, citations and books."
SS0079,FM008,Philippe Gaubert,菲利普・高貝爾,crossref,https://search.crossref.org/?q=%22Philippe%20Gaubert%22%20flute,Search Crossref for DOI-bearing publications.
SS0080,FM008,Philippe Gaubert,菲利普・高貝爾,semantic_scholar,https://www.semanticscholar.org/search?q=%22Philippe%20Gaubert%22%20flute&sort=relevance,Search Semantic Scholar for papers and citations.
SS0081,FM008,Philippe Gaubert,菲利普・高貝爾,worldcat_books,https://search.worldcat.org/search?q=%22Philippe%20Gaubert%22%20flute,"Search WorldCat for books, recordings, theses and library holdings."
SS0082,FM008,Philippe Gaubert,菲利普・高貝爾,worldcat_dissertations,https://search.worldcat.org/search?q=%22Philippe%20Gaubert%22%20flute%20dissertation%20OR%20thesis,Search WorldCat for thesis/dissertation holdings.
SS0083,FM008,Philippe Gaubert,菲利普・高貝爾,library_of_congress,https://catalog.loc.gov/vwebv/search?searchArg=%22Philippe%20Gaubert%22%20flute&searchCode=GKEY%5E*&searchType=0,Search Library of Congress catalogue.
SS0084,FM008,Philippe Gaubert,菲利普・高貝爾,jstor,https://www.jstor.org/action/doBasicSearch?Query=%22Philippe%20Gaubert%22%20flute,Search JSTOR for journals and book chapters.
SS0085,FM008,Philippe Gaubert,菲利普・高貝爾,project_muse,https://muse.jhu.edu/search?action=search&query=%22Philippe%20Gaubert%22%20flute,Search Project MUSE for humanities scholarship.
SS0086,FM008,Philippe Gaubert,菲利普・高貝爾,proquest,https://www.proquest.com/search?query=%22Philippe%20Gaubert%22%20flute,Search ProQuest for dissertations and scholarly databases; access may require login.
SS0087,FM008,Philippe Gaubert,菲利普・高貝爾,rilm,https://www.rilm.org/,Use RILM Abstracts with the query text; RILM usually requires institutional access.
SS0088,FM008,Philippe Gaubert,菲利普・高貝爾,nfa_site,https://www.google.com/search?q=%22Philippe%20Gaubert%22%20flute%20site%3Anfaonline.org,Search National Flute Association pages and publications.
SS0089,FM009,Adolphe Hennebains,阿道夫・亨內班,google_scholar,https://scholar.google.com/scholar?q=%22Adolphe%20Hennebains%22%20flute,"Search Google Scholar for papers, citations and books."
SS0090,FM009,Adolphe Hennebains,阿道夫・亨內班,crossref,https://search.crossref.org/?q=%22Adolphe%20Hennebains%22%20flute,Search Crossref for DOI-bearing publications.
SS0091,FM009,Adolphe Hennebains,阿道夫・亨內班,semantic_scholar,https://www.semanticscholar.org/search?q=%22Adolphe%20Hennebains%22%20flute&sort=relevance,Search Semantic Scholar for papers and citations.
SS0092,FM009,Adolphe Hennebains,阿道夫・亨內班,worldcat_books,https://search.worldcat.org/search?q=%22Adolphe%20Hennebains%22%20flute,"Search WorldCat for books, recordings, theses and library holdings."
SS0093,FM009,Adolphe Hennebains,阿道夫・亨內班,worldcat_dissertations,https://search.worldcat.org/search?q=%22Adolphe%20Hennebains%22%20flute%20dissertation%20OR%20thesis,Search WorldCat for thesis/dissertation holdings.
SS0094,FM009,Adolphe Hennebains,阿道夫・亨內班,library_of_congress,https://catalog.loc.gov/vwebv/search?searchArg=%22Adolphe%20Hennebains%22%20flute&searchCode=GKEY%5E*&searchType=0,Search Library of Congress catalogue.
SS0095,FM009,Adolphe Hennebains,阿道夫・亨內班,jstor,https://www.jstor.org/action/doBasicSearch?Query=%22Adolphe%20Hennebains%22%20flute,Search JSTOR for journals and book chapters.
SS0096,FM009,Adolphe Hennebains,阿道夫・亨內班,project_muse,https://muse.jhu.edu/search?action=search&query=%22Adolphe%20Hennebains%22%20flute,Search Project MUSE for humanities scholarship.
SS0097,FM009,Adolphe Hennebains,阿道夫・亨內班,proquest,https://www.proquest.com/search?query=%22Adolphe%20Hennebains%22%20flute,Search ProQuest for dissertations and scholarly databases; access may require login.
SS0098,FM009,Adolphe Hennebains,阿道夫・亨內班,rilm,https://www.rilm.org/,Use RILM Abstracts with the query text; RILM usually requires institutional access.
SS0099,FM009,Adolphe Hennebains,阿道夫・亨內班,nfa_site,https://www.google.com/search?q=%22Adolphe%20Hennebains%22%20flute%20site%3Anfaonline.org,Search National Flute Association pages and publications.
SS0100,FM010,Georges Barrère,喬治・巴雷爾,google_scholar,https://scholar.google.com/scholar?q=%22Georges%20Barr%C3%A8re%22%20flute,"Search Google Scholar for papers, citations and books."
SS0101,FM010,Georges Barrère,喬治・巴雷爾,crossref,https://search.crossref.org/?q=%22Georges%20Barr%C3%A8re%22%20flute,Search Crossref for DOI-bearing publications.
SS0102,FM010,Georges Barrère,喬治・巴雷爾,semantic_scholar,https://www.semanticscholar.org/search?q=%22Georges%20Barr%C3%A8re%22%20flute&sort=relevance,Search Semantic Scholar for papers and citations.
SS0103,FM010,Georges Barrère,喬治・巴雷爾,worldcat_books,https://search.worldcat.org/search?q=%22Georges%20Barr%C3%A8re%22%20flute,"Search WorldCat for books, recordings, theses and library holdings."
SS0104,FM010,Georges Barrère,喬治・巴雷爾,worldcat_dissertations,https://search.worldcat.org/search?q=%22Georges%20Barr%C3%A8re%22%20flute%20dissertation%20OR%20thesis,Search WorldCat for thesis/dissertation holdings.
SS0105,FM010,Georges Barrère,喬治・巴雷爾,library_of_congress,https://catalog.loc.gov/vwebv/search?searchArg=%22Georges%20Barr%C3%A8re%22%20flute&searchCode=GKEY%5E*&searchType=0,Search Library of Congress catalogue.
SS0106,FM010,Georges Barrère,喬治・巴雷爾,jstor,https://www.jstor.org/action/doBasicSearch?Query=%22Georges%20Barr%C3%A8re%22%20flute,Search JSTOR for journals and book chapters.
SS0107,FM010,Georges Barrère,喬治・巴雷爾,project_muse,https://muse.jhu.edu/search?action=search&query=%22Georges%20Barr%C3%A8re%22%20flute,Search Project MUSE for humanities scholarship.
SS0108,FM010,Georges Barrère,喬治・巴雷爾,proquest,https://www.proquest.com/search?query=%22Georges%20Barr%C3%A8re%22%20flute,Search ProQuest for dissertations and scholarly databases; access may require login.
SS0109,FM010,Georges Barrère,喬治・巴雷爾,rilm,https://www.rilm.org/,Use RILM Abstracts with the query text; RILM usually requires institutional access.
SS0110,FM010,Georges Barrère,喬治・巴雷爾,nfa_site,https://www.google.com/search?q=%22Georges%20Barr%C3%A8re%22%20flute%20site%3Anfaonline.org,Search National Flute Association pages and publications.
SS0111,FM011,Louis Fleury,路易・弗勒里,google_scholar,https://scholar.google.com/scholar?q=%22Louis%20Fleury%22%20flute,"Search Google Scholar for papers, citations and books."
SS0112,FM011,Louis Fleury,路易・弗勒里,crossref,https://search.crossref.org/?q=%22Louis%20Fleury%22%20flute,Search Crossref for DOI-bearing publications.
SS0113,FM011,Louis Fleury,路易・弗勒里,semantic_scholar,https://www.semanticscholar.org/search?q=%22Louis%20Fleury%22%20flute&sort=relevance,Search Semantic Scholar for papers and citations.
SS0114,FM011,Louis Fleury,路易・弗勒里,worldcat_books,https://search.worldcat.org/search?q=%22Louis%20Fleury%22%20flute,"Search WorldCat for books, recordings, theses and library holdings."
SS0115,FM011,Louis Fleury,路易・弗勒里,worldcat_dissertations,https://search.worldcat.org/search?q=%22Louis%20Fleury%22%20flute%20dissertation%20OR%20thesis,Search WorldCat for thesis/dissertation holdings.
SS0116,FM011,Louis Fleury,路易・弗勒里,library_of_congress,https://catalog.loc.gov/vwebv/search?searchArg=%22Louis%20Fleury%22%20flute&searchCode=GKEY%5E*&searchType=0,Search Library of Congress catalogue.
SS0117,FM011,Louis Fleury,路易・弗勒里,jstor,https://www.jstor.org/action/doBasicSearch?Query=%22Louis%20Fleury%22%20flute,Search JSTOR for journals and book chapters.
SS0118,FM011,Louis Fleury,路易・弗勒里,project_muse,https://muse.jhu.edu/search?action=search&query=%22Louis%20Fleury%22%20flute,Search Project MUSE for humanities scholarship.
SS0119,FM011,Louis Fleury,路易・弗勒里,proquest,https://www.proquest.com/search?query=%22Louis%20Fleury%22%20flute,Search ProQuest for dissertations and scholarly databases; access may require login.
SS0120,FM011,Louis Fleury,路易・弗勒里,rilm,https://www.rilm.org/,Use RILM Abstracts with the query text; RILM usually requires institutional access.
SS0121,FM011,Louis Fleury,路易・弗勒里,nfa_site,https://www.google.com/search?q=%22Louis%20Fleury%22%20flute%20site%3Anfaonline.org,Search National Flute Association pages and publications.
SS0122,FM012,Marcel Moyse,馬塞爾・莫伊茲,google_scholar,https://scholar.google.com/scholar?q=%22Marcel%20Moyse%22%20flute,"Search Google Scholar for papers, citations and books."
SS0123,FM012,Marcel Moyse,馬塞爾・莫伊茲,crossref,https://search.crossref.org/?q=%22Marcel%20Moyse%22%20flute,Search Crossref for DOI-bearing publications.
SS0124,FM012,Marcel Moyse,馬塞爾・莫伊茲,semantic_scholar,https://www.semanticscholar.org/search?q=%22Marcel%20Moyse%22%20flute&sort=relevance,Search Semantic Scholar for papers and citations.
SS0125,FM012,Marcel Moyse,馬塞爾・莫伊茲,worldcat_books,https://search.worldcat.org/search?q=%22Marcel%20Moyse%22%20flute,"Search WorldCat for books, recordings, theses and library holdings."
SS0126,FM012,Marcel Moyse,馬塞爾・莫伊茲,worldcat_dissertations,https://search.worldcat.org/search?q=%22Marcel%20Moyse%22%20flute%20dissertation%20OR%20thesis,Search WorldCat for thesis/dissertation holdings.
SS0127,FM012,Marcel Moyse,馬塞爾・莫伊茲,library_of_congress,https://catalog.loc.gov/vwebv/search?searchArg=%22Marcel%20Moyse%22%20flute&searchCode=GKEY%5E*&searchType=0,Search Library of Congress catalogue.
SS0128,FM012,Marcel Moyse,馬塞爾・莫伊茲,jstor,https://www.jstor.org/action/doBasicSearch?Query=%22Marcel%20Moyse%22%20flute,Search JSTOR for journals and book chapters.
SS0129,FM012,Marcel Moyse,馬塞爾・莫伊茲,project_muse,https://muse.jhu.edu/search?action=search&query=%22Marcel%20Moyse%22%20flute,Search Project MUSE for humanities scholarship.
SS0130,FM012,Marcel Moyse,馬塞爾・莫伊茲,proquest,https://www.proquest.com/search?query=%22Marcel%20Moyse%22%20flute,Search ProQuest for dissertations and scholarly databases; access may require login.
SS0131,FM012,Marcel Moyse,馬塞爾・莫伊茲,rilm,https://www.rilm.org/,Use RILM Abstracts with the query text; RILM usually requires institutional access.
SS0132,FM012,Marcel Moyse,馬塞爾・莫伊茲,nfa_site,https://www.google.com/search?q=%22Marcel%20Moyse%22%20flute%20site%3Anfaonline.org,Search National Flute Association pages and publications.
SS0133,FM013,René Le Roy,勒內・勒魯瓦,google_scholar,https://scholar.google.com/scholar?q=%22Ren%C3%A9%20Le%20Roy%22%20flute,"Search Google Scholar for papers, citations and books."
SS0134,FM013,René Le Roy,勒內・勒魯瓦,crossref,https://search.crossref.org/?q=%22Ren%C3%A9%20Le%20Roy%22%20flute,Search Crossref for DOI-bearing publications.
SS0135,FM013,René Le Roy,勒內・勒魯瓦,semantic_scholar,https://www.semanticscholar.org/search?q=%22Ren%C3%A9%20Le%20Roy%22%20flute&sort=relevance,Search Semantic Scholar for papers and citations.
SS0136,FM013,René Le Roy,勒內・勒魯瓦,worldcat_books,https://search.worldcat.org/search?q=%22Ren%C3%A9%20Le%20Roy%22%20flute,"Search WorldCat for books, recordings, theses and library holdings."
SS0137,FM013,René Le Roy,勒內・勒魯瓦,worldcat_dissertations,https://search.worldcat.org/search?q=%22Ren%C3%A9%20Le%20Roy%22%20flute%20dissertation%20OR%20thesis,Search WorldCat for thesis/dissertation holdings.
SS0138,FM013,René Le Roy,勒內・勒魯瓦,library_of_congress,https://catalog.loc.gov/vwebv/search?searchArg=%22Ren%C3%A9%20Le%20Roy%22%20flute&searchCode=GKEY%5E*&searchType=0,Search Library of Congress catalogue.
SS0139,FM013,René Le Roy,勒內・勒魯瓦,jstor,https://www.jstor.org/action/doBasicSearch?Query=%22Ren%C3%A9%20Le%20Roy%22%20flute,Search JSTOR for journals and book chapters.
SS0140,FM013,René Le Roy,勒內・勒魯瓦,project_muse,https://muse.jhu.edu/search?action=search&query=%22Ren%C3%A9%20Le%20Roy%22%20flute,Search Project MUSE for humanities scholarship.
SS0141,FM013,René Le Roy,勒內・勒魯瓦,proquest,https://www.proquest.com/search?query=%22Ren%C3%A9%20Le%20Roy%22%20flute,Search ProQuest for dissertations and scholarly databases; access may require login.
SS0142,FM013,René Le Roy,勒內・勒魯瓦,rilm,https://www.rilm.org/,Use RILM Abstracts with the query text; RILM usually requires institutional access.
