recording_search_id,person_id,name_en,name_zh,search_type,url,purpose
RS0036,FM008,Philippe Gaubert,菲利普・高貝爾,musicbrainz_artist,https://musicbrainz.org/artist/cf802e2a-085c-4a83-ad19-5443900804a7,MusicBrainz artist page for recordings and release groups.
RS0037,FM008,Philippe Gaubert,菲利普・高貝爾,discogs_artist,https://www.discogs.com/artist/1269379,Discogs artist page for commercial release data.
RS0038,FM008,Philippe Gaubert,菲利普・高貝爾,worldcat_recordings,https://search.worldcat.org/search?q=Philippe%20Gaubert%20flute%20recordings,Search library catalogues for recordings and media holdings.
RS0039,FM008,Philippe Gaubert,菲利普・高貝爾,youtube_performance_search,https://www.youtube.com/results?search_query=Philippe%20Gaubert%20flute,"Find publicly available performances, interviews and masterclasses."
RS0040,FM008,Philippe Gaubert,菲利普・高貝爾,spotify_search,https://open.spotify.com/search/Philippe%20Gaubert%20flute,Search streaming releases; verify against labels/catalogues before citation.
RS0041,FM009,Adolphe Hennebains,阿道夫・亨內班,musicbrainz_artist,https://musicbrainz.org/artist/12679970-e29c-4e35-a27c-813ee4a1f5d4,MusicBrainz artist page for recordings and release groups.
RS0042,FM009,Adolphe Hennebains,阿道夫・亨內班,discogs_search,https://www.discogs.com/search/?q=Adolphe%20Hennebains%20flute&type=all,Search Discogs for commercial releases.
RS0043,FM009,Adolphe Hennebains,阿道夫・亨內班,worldcat_recordings,https://search.worldcat.org/search?q=Adolphe%20Hennebains%20flute%20recordings,Search library catalogues for recordings and media holdings.
RS0044,FM009,Adolphe Hennebains,阿道夫・亨內班,youtube_performance_search,https://www.youtube.com/results?search_query=Adolphe%20Hennebains%20flute,"Find publicly available performances, interviews and masterclasses."
RS0045,FM009,Adolphe Hennebains,阿道夫・亨內班,spotify_search,https://open.spotify.com/search/Adolphe%20Hennebains%20flute,Search streaming releases; verify against labels/catalogues before citation.
RS0046,FM010,Georges Barrère,喬治・巴雷爾,musicbrainz_artist,https://musicbrainz.org/artist/0ae51c76-3a00-4a56-af0b-9ebc0463633d,MusicBrainz artist page for recordings and release groups.
RS0047,FM010,Georges Barrère,喬治・巴雷爾,musicbrainz_artist,https://musicbrainz.org/artist/cc08e743-da52-4bac-b4ed-5ddefa87cecd,MusicBrainz artist page for recordings and release groups.
RS0048,FM010,Georges Barrère,喬治・巴雷爾,discogs_artist,https://www.discogs.com/artist/3255241,Discogs artist page for commercial release data.
RS0049,FM010,Georges Barrère,喬治・巴雷爾,worldcat_recordings,https://search.worldcat.org/search?q=Georges%20Barr%C3%A8re%20flute%20recordings,Search library catalogues for recordings and media holdings.
RS0050,FM010,Georges Barrère,喬治・巴雷爾,youtube_performance_search,https://www.youtube.com/results?search_query=Georges%20Barr%C3%A8re%20flute,"Find publicly available performances, interviews and masterclasses."
RS0051,FM010,Georges Barrère,喬治・巴雷爾,spotify_search,https://open.spotify.com/search/Georges%20Barr%C3%A8re%20flute,Search streaming releases; verify against labels/catalogues before citation.
RS0052,FM011,Louis Fleury,路易・弗勒里,musicbrainz_artist,https://musicbrainz.org/artist/0a4bf65b-8cf6-491b-878d-f4c8ba8939c0,MusicBrainz artist page for recordings and release groups.
RS0053,FM011,Louis Fleury,路易・弗勒里,discogs_artist,https://www.discogs.com/artist/2119216,Discogs artist page for commercial release data.
RS0054,FM011,Louis Fleury,路易・弗勒里,worldcat_recordings,https://search.worldcat.org/search?q=Louis%20Fleury%20flute%20recordings,Search library catalogues for recordings and media holdings.
RS0055,FM011,Louis Fleury,路易・弗勒里,youtube_performance_search,https://www.youtube.com/results?search_query=Louis%20Fleury%20flute,"Find publicly available performances, interviews and masterclasses."
RS0056,FM011,Louis Fleury,路易・弗勒里,spotify_search,https://open.spotify.com/search/Louis%20Fleury%20flute,Search streaming releases; verify against labels/catalogues before citation.
RS0057,FM012,Marcel Moyse,馬塞爾・莫伊茲,musicbrainz_artist,https://musicbrainz.org/artist/fb617449-fbd2-453e-a7ba-736aed4f2acb,MusicBrainz artist page for recordings and release groups.
RS0058,FM012,Marcel Moyse,馬塞爾・莫伊茲,discogs_artist,https://www.discogs.com/artist/1659281,Discogs artist page for commercial release data.
RS0059,FM012,Marcel Moyse,馬塞爾・莫伊茲,worldcat_recordings,https://search.worldcat.org/search?q=Marcel%20Moyse%20flute%20recordings,Search library catalogues for recordings and media holdings.
RS0060,FM012,Marcel Moyse,馬塞爾・莫伊茲,youtube_performance_search,https://www.youtube.com/results?search_query=Marcel%20Moyse%20flute,"Find publicly available performances, interviews and masterclasses."
RS0061,FM012,Marcel Moyse,馬塞爾・莫伊茲,spotify_search,https://open.spotify.com/search/Marcel%20Moyse%20flute,Search streaming releases; verify against labels/catalogues before citation.
RS0062,FM013,René Le Roy,勒內・勒魯瓦,musicbrainz_artist,https://musicbrainz.org/artist/c6a5effd-45f6-4a2d-9735-3ff2510ed729,MusicBrainz artist page for recordings and release groups.
RS0063,FM013,René Le Roy,勒內・勒魯瓦,discogs_artist,https://www.discogs.com/artist/2098539,Discogs artist page for commercial release data.
RS0064,FM013,René Le Roy,勒內・勒魯瓦,worldcat_recordings,https://search.worldcat.org/search?q=Ren%C3%A9%20Le%20Roy%20flute%20recordings,Search library catalogues for recordings and media holdings.
RS0065,FM013,René Le Roy,勒內・勒魯瓦,youtube_performance_search,https://www.youtube.com/results?search_query=Ren%C3%A9%20Le%20Roy%20flute,"Find publicly available performances, interviews and masterclasses."
RS0066,FM013,René Le Roy,勒內・勒魯瓦,spotify_search,https://open.spotify.com/search/Ren%C3%A9%20Le%20Roy%20flute,Search streaming releases; verify against labels/catalogues before citation.
RS0067,FM014,Gaston Crunelle,加斯東・克呂內爾,musicbrainz_artist,https://musicbrainz.org/artist/5a5e16a1-9a0d-4ca6-bd91-c75cb74368bd,MusicBrainz artist page for recordings and release groups.
RS0068,FM014,Gaston Crunelle,加斯東・克呂內爾,discogs_artist,https://www.discogs.com/artist/1980901,Discogs artist page for commercial release data.
RS0069,FM014,Gaston Crunelle,加斯東・克呂內爾,worldcat_recordings,https://search.worldcat.org/search?q=Gaston%20Crunelle%20flute%20recordings,Search library catalogues for recordings and media holdings.
RS0070,FM014,Gaston Crunelle,加斯東・克呂內爾,youtube_performance_search,https://www.youtube.com/results?search_query=Gaston%20Crunelle%20flute,"Find publicly available performances, interviews and masterclasses."
RS0071,FM014,Gaston Crunelle,加斯東・克呂內爾,spotify_search,https://open.spotify.com/search/Gaston%20Crunelle%20flute,Search streaming releases; verify against labels/catalogues before citation.
RS0072,FM015,Leonardo De Lorenzo,萊昂納多・德洛倫佐,musicbrainz_artist,https://musicbrainz.org/artist/d7958719-4b16-4659-8ece-f9c1c1867ac3,MusicBrainz artist page for recordings and release groups.
RS0073,FM015,Leonardo De Lorenzo,萊昂納多・德洛倫佐,discogs_search,https://www.discogs.com/search/?q=Leonardo%20De%20Lorenzo%20flute&type=all,Search Discogs for commercial releases.
RS0074,FM015,Leonardo De Lorenzo,萊昂納多・德洛倫佐,worldcat_recordings,https://search.worldcat.org/search?q=Leonardo%20De%20Lorenzo%20flute%20recordings,Search library catalogues for recordings and media holdings.
RS0075,FM015,Leonardo De Lorenzo,萊昂納多・德洛倫佐,youtube_performance_search,https://www.youtube.com/results?search_query=Leonardo%20De%20Lorenzo%20flute,"Find publicly available performances, interviews and masterclasses."
RS0076,FM015,Leonardo De Lorenzo,萊昂納多・德洛倫佐,spotify_search,https://open.spotify.com/search/Leonardo%20De%20Lorenzo%20flute,Search streaming releases; verify against labels/catalogues before citation.
RS0077,FM016,Georges Laurent,喬治・洛朗,musicbrainz_search,https://musicbrainz.org/search?query=Georges%20Laurent%20flute&type=artist&method=indexed,Search MusicBrainz for an artist recording authority.
RS0078,FM016,Georges Laurent,喬治・洛朗,discogs_search,https://www.discogs.com/search/?q=Georges%20Laurent%20flute&type=all,Search Discogs for commercial releases.
RS0079,FM016,Georges Laurent,喬治・洛朗,worldcat_recordings,https://search.worldcat.org/search?q=Georges%20Laurent%20flute%20recordings,Search library catalogues for recordings and media holdings.
RS0080,FM016,Georges Laurent,喬治・洛朗,youtube_performance_search,https://www.youtube.com/results?search_query=Georges%20Laurent%20flute,"Find publicly available performances, interviews and masterclasses."
RS0081,FM016,Georges Laurent,喬治・洛朗,spotify_search,https://open.spotify.com/search/Georges%20Laurent%20flute,Search streaming releases; verify against labels/catalogues before citation.
RS0082,FM017,William Kincaid,威廉・金凱德,musicbrainz_search,https://musicbrainz.org/search?query=William%20Kincaid%20flute&type=artist&method=indexed,Search MusicBrainz for an artist recording authority.
RS0083,FM017,William Kincaid,威廉・金凱德,discogs_search,https://www.discogs.com/search/?q=William%20Kincaid%20flute&type=all,Search Discogs for commercial releases.
RS0084,FM017,William Kincaid,威廉・金凱德,worldcat_recordings,https://search.worldcat.org/search?q=William%20Kincaid%20flute%20recordings,Search library catalogues for recordings and media holdings.
RS0085,FM017,William Kincaid,威廉・金凱德,youtube_performance_search,https://www.youtube.com/results?search_query=William%20Kincaid%20flute,"Find publicly available performances, interviews and masterclasses."
RS0086,FM017,William Kincaid,威廉・金凱德,spotify_search,https://open.spotify.com/search/William%20Kincaid%20flute,Search streaming releases; verify against labels/catalogues before citation.
RS0087,FM018,Joseph Mariano,約瑟夫・馬里亞諾,musicbrainz_artist,https://musicbrainz.org/artist/443fd4f3-9829-46b7-b302-e71c4a419d54,MusicBrainz artist page for recordings and release groups.
RS0088,FM018,Joseph Mariano,約瑟夫・馬里亞諾,discogs_artist,https://www.discogs.com/artist/1836271,Discogs artist page for commercial release data.
RS0089,FM018,Joseph Mariano,約瑟夫・馬里亞諾,worldcat_recordings,https://search.worldcat.org/search?q=Joseph%20Mariano%20flute%20recordings,Search library catalogues for recordings and media holdings.
RS0090,FM018,Joseph Mariano,約瑟夫・馬里亞諾,youtube_performance_search,https://www.youtube.com/results?search_query=Joseph%20Mariano%20flute,"Find publicly available performances, interviews and masterclasses."
RS0091,FM018,Joseph Mariano,約瑟夫・馬里亞諾,spotify_search,https://open.spotify.com/search/Joseph%20Mariano%20flute,Search streaming releases; verify against labels/catalogues before citation.
RS0092,FM019,Julius Baker,朱利葉斯・貝克,musicbrainz_artist,https://musicbrainz.org/artist/f9096958-9149-43cb-a051-f54b59b46ee7,MusicBrainz artist page for recordings and release groups.
RS0093,FM019,Julius Baker,朱利葉斯・貝克,discogs_artist,https://www.discogs.com/artist/956001,Discogs artist page for commercial release data.
RS0094,FM019,Julius Baker,朱利葉斯・貝克,worldcat_recordings,https://search.worldcat.org/search?q=Julius%20Baker%20flute%20recordings,Search library catalogues for recordings and media holdings.
RS0095,FM019,Julius Baker,朱利葉斯・貝克,youtube_performance_search,https://www.youtube.com/results?search_query=Julius%20Baker%20flute,"Find publicly available performances, interviews and masterclasses."
RS0096,FM019,Julius Baker,朱利葉斯・貝克,spotify_search,https://open.spotify.com/search/Julius%20Baker%20flute,Search streaming releases; verify against labels/catalogues before citation.
RS0097,FM020,Jean-Pierre Rampal,讓-皮耶・朗帕爾,musicbrainz_artist,https://musicbrainz.org/artist/4deb8a6c-38f1-47d6-9e75-ada1add9dd65,MusicBrainz artist page for recordings and release groups.
RS0098,FM020,Jean-Pierre Rampal,讓-皮耶・朗帕爾,discogs_artist,https://www.discogs.com/artist/379816,Discogs artist page for commercial release data.
RS0099,FM020,Jean-Pierre Rampal,讓-皮耶・朗帕爾,worldcat_recordings,https://search.worldcat.org/search?q=Jean-Pierre%20Rampal%20flute%20recordings,Search library catalogues for recordings and media holdings.
RS0100,FM020,Jean-Pierre Rampal,讓-皮耶・朗帕爾,youtube_performance_search,https://www.youtube.com/results?search_query=Jean-Pierre%20Rampal%20flute,"Find publicly available performances, interviews and masterclasses."
RS0101,FM020,Jean-Pierre Rampal,讓-皮耶・朗帕爾,spotify_search,https://open.spotify.com/search/Jean-Pierre%20Rampal%20flute,Search streaming releases; verify against labels/catalogues before citation.
RS0102,FM021,Alain Marion,阿蘭・馬里翁,musicbrainz_artist,https://musicbrainz.org/artist/2fdb589e-7eba-44cc-87fa-f1d201ab77a8,MusicBrainz artist page for recordings and release groups.
RS0103,FM021,Alain Marion,阿蘭・馬里翁,discogs_artist,https://www.discogs.com/artist/833843,Discogs artist page for commercial release data.
RS0104,FM021,Alain Marion,阿蘭・馬里翁,worldcat_recordings,https://search.worldcat.org/search?q=Alain%20Marion%20flute%20recordings,Search library catalogues for recordings and media holdings.
RS0105,FM021,Alain Marion,阿蘭・馬里翁,youtube_performance_search,https://www.youtube.com/results?search_query=Alain%20Marion%20flute,"Find publicly available performances, interviews and masterclasses."
RS0106,FM021,Alain Marion,阿蘭・馬里翁,spotify_search,https://open.spotify.com/search/Alain%20Marion%20flute,Search streaming releases; verify against labels/catalogues before citation.
RS0107,FM022,Maxence Larrieu,馬克桑斯・拉里厄,musicbrainz_artist,https://musicbrainz.org/artist/c5656f24-24ce-4842-a1b2-f7b569207626,MusicBrainz artist page for recordings and release groups.
RS0108,FM022,Maxence Larrieu,馬克桑斯・拉里厄,discogs_artist,https://www.discogs.com/artist/844246,Discogs artist page for commercial release data.
RS0109,FM022,Maxence Larrieu,馬克桑斯・拉里厄,worldcat_recordings,https://search.worldcat.org/search?q=Maxence%20Larrieu%20flute%20recordings,Search library catalogues for recordings and media holdings.
RS0110,FM022,Maxence Larrieu,馬克桑斯・拉里厄,youtube_performance_search,https://www.youtube.com/results?search_query=Maxence%20Larrieu%20flute,"Find publicly available performances, interviews and masterclasses."
RS0111,FM022,Maxence Larrieu,馬克桑斯・拉里厄,spotify_search,https://open.spotify.com/search/Maxence%20Larrieu%20flute,Search streaming releases; verify against labels/catalogues before citation.
RS0112,FM023,Aurèle Nicolet,奧雷勒・尼科萊,musicbrainz_artist,https://musicbrainz.org/artist/98b40321-a346-4a73-ba89-7ce868743371,MusicBrainz artist page for recordings and release groups.
RS0113,FM023,Aurèle Nicolet,奧雷勒・尼科萊,discogs_artist,https://www.discogs.com/artist/302078,Discogs artist page for commercial release data.
RS0114,FM023,Aurèle Nicolet,奧雷勒・尼科萊,worldcat_recordings,https://search.worldcat.org/search?q=Aur%C3%A8le%20Nicolet%20flute%20recordings,Search library catalogues for recordings and media holdings.
RS0115,FM023,Aurèle Nicolet,奧雷勒・尼科萊,youtube_performance_search,https://www.youtube.com/results?search_query=Aur%C3%A8le%20Nicolet%20flute,"Find publicly available performances, interviews and masterclasses."
RS0116,FM023,Aurèle Nicolet,奧雷勒・尼科萊,spotify_search,https://open.spotify.com/search/Aur%C3%A8le%20Nicolet%20flute,Search streaming releases; verify against labels/catalogues before citation.
RS0117,FM024,Peter-Lukas Graf,彼得-盧卡斯・格拉夫,musicbrainz_artist,https://musicbrainz.org/artist/fdc0c5bb-9755-439f-bef8-9516e0c15536,MusicBrainz artist page for recordings and release groups.
RS0118,FM024,Peter-Lukas Graf,彼得-盧卡斯・格拉夫,discogs_artist,https://www.discogs.com/artist/882825,Discogs artist page for commercial release data.
RS0119,FM024,Peter-Lukas Graf,彼得-盧卡斯・格拉夫,worldcat_recordings,https://search.worldcat.org/search?q=Peter-Lukas%20Graf%20flute%20recordings,Search library catalogues for recordings and media holdings.
RS0120,FM024,Peter-Lukas Graf,彼得-盧卡斯・格拉夫,youtube_performance_search,https://www.youtube.com/results?search_query=Peter-Lukas%20Graf%20flute,"Find publicly available performances, interviews and masterclasses."
RS0121,FM024,Peter-Lukas Graf,彼得-盧卡斯・格拉夫,spotify_search,https://open.spotify.com/search/Peter-Lukas%20Graf%20flute,Search streaming releases; verify against labels/catalogues before citation.
RS0122,FM025,Severino Gazzelloni,塞韋里諾・加澤洛尼,musicbrainz_artist,https://musicbrainz.org/artist/5f543587-f1b0-4111-83ce-83b831146ddb,MusicBrainz artist page for recordings and release groups.
RS0123,FM025,Severino Gazzelloni,塞韋里諾・加澤洛尼,discogs_artist,https://www.discogs.com/artist/843658,Discogs artist page for commercial release data.
RS0124,FM025,Severino Gazzelloni,塞韋里諾・加澤洛尼,worldcat_recordings,https://search.worldcat.org/search?q=Severino%20Gazzelloni%20flute%20recordings,Search library catalogues for recordings and media holdings.
RS0125,FM025,Severino Gazzelloni,塞韋里諾・加澤洛尼,youtube_performance_search,https://www.youtube.com/results?search_query=Severino%20Gazzelloni%20flute,"Find publicly available performances, interviews and masterclasses."
RS0126,FM025,Severino Gazzelloni,塞韋里諾・加澤洛尼,spotify_search,https://open.spotify.com/search/Severino%20Gazzelloni%20flute,Search streaming releases; verify against labels/catalogues before citation.
RS0127,FM026,James Galway,詹姆斯・高威,musicbrainz_artist,https://musicbrainz.org/artist/84045b93-beb0-4bc8-a855-93266ec6bbdc,MusicBrainz artist page for recordings and release groups.
RS0128,FM026,James Galway,詹姆斯・高威,discogs_artist,https://www.discogs.com/artist/325672,Discogs artist page for commercial release data.
RS0129,FM026,James Galway,詹姆斯・高威,worldcat_recordings,https://search.worldcat.org/search?q=James%20Galway%20flute%20recordings,Search library catalogues for recordings and media holdings.
RS0130,FM026,James Galway,詹姆斯・高威,youtube_performance_search,https://www.youtube.com/results?search_query=James%20Galway%20flute,"Find publicly available performances, interviews and masterclasses."
RS0131,FM026,James Galway,詹姆斯・高威,spotify_search,https://open.spotify.com/search/James%20Galway%20flute,Search streaming releases; verify against labels/catalogues before citation.
RS0132,FM027,William Bennett,威廉・班奈特,musicbrainz_artist,https://musicbrainz.org/artist/6a18d13a-ebf3-4bd2-bf35-4b21fd501e24,MusicBrainz artist page for recordings and release groups.
RS0133,FM027,William Bennett,威廉・班奈特,discogs_artist,https://www.discogs.com/artist/95996,Discogs artist page for commercial release data.
RS0134,FM027,William Bennett,威廉・班奈特,worldcat_recordings,https://search.worldcat.org/search?q=William%20Bennett%20flute%20recordings,Search library catalogues for recordings and media holdings.
RS0135,FM027,William Bennett,威廉・班奈特,youtube_performance_search,https://www.youtube.com/results?search_query=William%20Bennett%20flute,"Find publicly available performances, interviews and masterclasses."
RS0136,FM027,William Bennett,威廉・班奈特,spotify_search,https://open.spotify.com/search/William%20Bennett%20flute,Search streaming releases; verify against labels/catalogues before citation.
RS0137,FM028,Geoffrey Gilbert,傑弗里・吉爾伯特,musicbrainz_search,https://musicbrainz.org/search?query=Geoffrey%20Gilbert%20flute&type=artist&method=indexed,Search MusicBrainz for an artist recording authority.
RS0138,FM028,Geoffrey Gilbert,傑弗里・吉爾伯特,discogs_search,https://www.discogs.com/search/?q=Geoffrey%20Gilbert%20flute&type=all,Search Discogs for commercial releases.
RS0139,FM028,Geoffrey Gilbert,傑弗里・吉爾伯特,worldcat_recordings,https://search.worldcat.org/search?q=Geoffrey%20Gilbert%20flute%20recordings,Search library catalogues for recordings and media holdings.
RS0140,FM028,Geoffrey Gilbert,傑弗里・吉爾伯特,youtube_performance_search,https://www.youtube.com/results?search_query=Geoffrey%20Gilbert%20flute,"Find publicly available performances, interviews and masterclasses."
RS0141,FM028,Geoffrey Gilbert,傑弗里・吉爾伯特,spotify_search,https://open.spotify.com/search/Geoffrey%20Gilbert%20flute,Search streaming releases; verify against labels/catalogues before citation.
RS0142,FM029,Michel Debost,米歇爾・德博斯特,musicbrainz_artist,https://musicbrainz.org/artist/34d87c87-a93e-477e-afd3-5cba313c7eea,MusicBrainz artist page for recordings and release groups.
RS0143,FM029,Michel Debost,米歇爾・德博斯特,discogs_artist,https://www.discogs.com/artist/833837,Discogs artist page for commercial release data.
RS0144,FM029,Michel Debost,米歇爾・德博斯特,worldcat_recordings,https://search.worldcat.org/search?q=Michel%20Debost%20flute%20recordings,Search library catalogues for recordings and media holdings.
RS0145,FM029,Michel Debost,米歇爾・德博斯特,youtube_performance_search,https://www.youtube.com/results?search_query=Michel%20Debost%20flute,"Find publicly available performances, interviews and masterclasses."
RS0146,FM029,Michel Debost,米歇爾・德博斯特,spotify_search,https://open.spotify.com/search/Michel%20Debost%20flute,Search streaming releases; verify against labels/catalogues before citation.
RS0147,FM030,Trevor Wye,特雷弗・懷伊,musicbrainz_artist,https://musicbrainz.org/artist/64c34be8-f782-480e-b1c3-3965fde88cb2,MusicBrainz artist page for recordings and release groups.
RS0148,FM030,Trevor Wye,特雷弗・懷伊,discogs_artist,https://www.discogs.com/artist/3000264,Discogs artist page for commercial release data.
RS0149,FM030,Trevor Wye,特雷弗・懷伊,worldcat_recordings,https://search.worldcat.org/search?q=Trevor%20Wye%20flute%20recordings,Search library catalogues for recordings and media holdings.
RS0150,FM030,Trevor Wye,特雷弗・懷伊,youtube_performance_search,https://www.youtube.com/results?search_query=Trevor%20Wye%20flute,"Find publicly available performances, interviews and masterclasses."
RS0151,FM030,Trevor Wye,特雷弗・懷伊,spotify_search,https://open.spotify.com/search/Trevor%20Wye%20flute,Search streaming releases; verify against labels/catalogues before citation.
RS0152,FM031,Louis Moyse,路易・莫伊茲,musicbrainz_artist,https://musicbrainz.org/artist/a57797c9-8932-4ba3-8d28-132570c08b21,MusicBrainz artist page for recordings and release groups.
RS0153,FM031,Louis Moyse,路易・莫伊茲,discogs_artist,https://www.discogs.com/artist/1659282,Discogs artist page for commercial release data.
RS0154,FM031,Louis Moyse,路易・莫伊茲,worldcat_recordings,https://search.worldcat.org/search?q=Louis%20Moyse%20flute%20recordings,Search library catalogues for recordings and media holdings.
